name,ats,slug,monitor,seeded,priority,notes
Character AI,ashby,character,TRUE,FALSE,FALSE,ai
Imbue,greenhouse,imbue,TRUE,FALSE,FALSE,ai
Krea,ashby,krea,TRUE,FALSE,FALSE,ai
Liquid AI,ashby,liquid,TRUE,FALSE,FALSE,ai
Magic,greenhouse,magic,TRUE,FALSE,FALSE,ai
Mercor,ashby,mercor,TRUE,FALSE,FALSE,ai
OpenEvidence,ashby,openevidence,TRUE,FALSE,FALSE,ai
Pika,ashby,pika,TRUE,FALSE,FALSE,ai
Poolside,ashby,poolside,TRUE,FALSE,FALSE,ai
Stability AI,greenhouse,stabilityai,TRUE,FALSE,FALSE,ai
Suno,ashby,suno,TRUE,FALSE,FALSE,ai
Tavus,ashby,tavus,TRUE,FALSE,FALSE,ai
Ada,greenhouse,ada18,TRUE,FALSE,FALSE,ai-apps
Descript,greenhouse,descript,TRUE,FALSE,FALSE,ai-apps
Gamma,ashby,gamma,TRUE,FALSE,FALSE,ai-apps
HeyGen,greenhouse,heygen,TRUE,FALSE,FALSE,ai-apps
Observe.AI,greenhouse,observeai,TRUE,FALSE,FALSE,ai-apps
Photoroom,ashby,photoroom,TRUE,FALSE,FALSE,ai-apps
Retell AI,ashby,retell-ai,TRUE,FALSE,FALSE,ai-apps
Speak,ashby,speak,TRUE,FALSE,FALSE,ai-apps
Typeface,greenhouse,typeface,TRUE,FALSE,FALSE,ai-apps
Vapi,ashby,vapi,TRUE,FALSE,FALSE,ai-apps
Applied Intuition,ashby,applied,TRUE,FALSE,FALSE,ai-infra
Arthur AI,ashby,arthur-ai,TRUE,FALSE,FALSE,ai-infra
AssemblyAI,greenhouse,assemblyai,TRUE,FALSE,FALSE,ai-infra
Baseten,ashby,baseten,TRUE,FALSE,FALSE,ai-infra
Chroma,ashby,trychroma,TRUE,FALSE,FALSE,ai-infra
Deepgram,ashby,deepgram,TRUE,FALSE,FALSE,ai-infra
Etched,ashby,etched,TRUE,FALSE,FALSE,ai-infra
Fiddler AI,ashby,fiddler-ai,TRUE,FALSE,FALSE,ai-infra
Fireworks AI,greenhouse,fireworksai,TRUE,FALSE,FALSE,ai-infra
Galileo,greenhouse,galileo,TRUE,FALSE,FALSE,ai-infra
Invisible Technologies,smartrec,invisibletechnologies,TRUE,FALSE,FALSE,ai-infra
Labelbox,greenhouse,labelbox,TRUE,FALSE,FALSE,ai-infra
LanceDB,ashby,lancedb,TRUE,FALSE,FALSE,ai-infra
LiveKit,ashby,livekit,TRUE,FALSE,FALSE,ai-infra
Nebius,greenhouse,nebius,TRUE,FALSE,FALSE,ai-infra
OpenRouter,ashby,openrouter,TRUE,FALSE,FALSE,ai-infra
RunPod,ashby,runpod,TRUE,FALSE,FALSE,ai-infra
SambaNova Systems,greenhouse,sambanovasystems,TRUE,FALSE,FALSE,ai-infra
SF Compute,ashby,sfcompute,TRUE,FALSE,FALSE,ai-infra
Snorkel AI,greenhouse,snorkelai,TRUE,FALSE,FALSE,ai-infra
Surge AI,ashby,surge-ai,TRUE,FALSE,FALSE,ai-infra
Turing,greenhouse,turing,TRUE,FALSE,FALSE,ai-infra
Weaviate,ashby,weaviate,TRUE,FALSE,FALSE,ai-infra
Zilliz,lever,zilliz,TRUE,FALSE,FALSE,ai-infra
Aurora Innovation,greenhouse,aurorainnovation,TRUE,FALSE,FALSE,ai-labs
Black Forest Labs,ashby,black-forest-labs,TRUE,FALSE,FALSE,ai-labs
Cartesia,ashby,cartesia,TRUE,FALSE,FALSE,ai-labs
Contextual AI,greenhouse,contextualai,TRUE,FALSE,FALSE,ai-labs
Ideogram,ashby,ideogram,TRUE,FALSE,FALSE,ai-labs
Inflection AI,greenhouse,inflectionai,TRUE,FALSE,FALSE,ai-labs
Luma AI,ashby,lumaai,TRUE,FALSE,FALSE,ai-labs
Midjourney,ashby,midjourney,TRUE,FALSE,FALSE,ai-labs
Nous Research,ashby,nous-research,TRUE,FALSE,FALSE,ai-labs
Nuro,greenhouse,nuro,TRUE,FALSE,FALSE,ai-labs
Prime Intellect,ashby,primeintellect,TRUE,FALSE,FALSE,ai-labs
Reka AI,ashby,reka,TRUE,FALSE,FALSE,ai-labs
Sesame,ashby,sesame,TRUE,FALSE,FALSE,ai-labs
Twelve Labs,ashby,twelve-labs,TRUE,FALSE,FALSE,ai-labs
Waymo,greenhouse,waymo,TRUE,FALSE,FALSE,ai-labs
World Labs,greenhouse,worldlabs,TRUE,FALSE,FALSE,ai-labs
xAI,greenhouse,xai,TRUE,FALSE,TRUE,ai-labs
Zoox,lever,zoox,TRUE,FALSE,FALSE,ai-labs
Associated Bank,workday,associatedbank.wd1.myworkdayjobs.com/external_careers,TRUE,FALSE,FALSE,bank
BlackRock,radancy,careers.blackrock.com,TRUE,FALSE,FALSE,bank
BMO US,workday,bmo.wd3.myworkdayjobs.com/External,TRUE,FALSE,FALSE,bank
BNY Mellon,oraclehcm,eofe.fa.us2.oraclecloud.com|CX_1001,TRUE,FALSE,FALSE,bank
Capital One,workday,capitalone.wd12.myworkdayjobs.com/Capital_One,TRUE,FALSE,TRUE,bank
Charles Schwab,greenhouse,charles,TRUE,FALSE,FALSE,bank
CIBC US,workday,cibc.wd3.myworkdayjobs.com/search,TRUE,FALSE,FALSE,bank
Citizens,radancy,jobs.citizensbank.com,TRUE,FALSE,FALSE,bank
Fifth Third Bank,workday,fifththird.wd5.myworkdayjobs.com/53careers,TRUE,FALSE,FALSE,bank
First National Bank of Omaha,workday,firstnational.wd12.myworkdayjobs.com/fnbocareers,TRUE,FALSE,FALSE,bank
KeyBank,workday,keybank.wd5.myworkdayjobs.com/External_Career_Site,TRUE,FALSE,FALSE,bank
M&T Bank,workday,mtb.wd5.myworkdayjobs.com/MTB,TRUE,FALSE,FALSE,bank
Morgan Stanley,eightfold,morganstanley.eightfold.ai|morganstanley.com,TRUE,FALSE,FALSE,bank
Navy Federal Credit Union,oraclehcm,fa-etbx-saasfaprod1.fa.ocs.oraclecloud.com|CX_1,TRUE,FALSE,FALSE,bank
Northern Trust,workday,ntrs.wd1.myworkdayjobs.com/northerntrust,TRUE,FALSE,FALSE,bank
PNC,workday,pnc.wd5.myworkdayjobs.com/External,TRUE,FALSE,FALSE,bank
Santander US,workday,santander.wd3.myworkdayjobs.com/santandercareers,TRUE,FALSE,FALSE,bank
TD Bank,workday,td.wd3.myworkdayjobs.com/TD_Bank_Careers,TRUE,FALSE,FALSE,bank
Texas Capital Bank,workday,texascapitalbank.wd12.myworkdayjobs.com/Careers,TRUE,FALSE,FALSE,bank
TIAA,workday,tiaa.wd1.myworkdayjobs.com/Search,TRUE,FALSE,FALSE,bank
Truist,workday,truist.wd1.myworkdayjobs.com/Careers,TRUE,FALSE,FALSE,bank
U.S. Bank,workday,usbank.wd1.myworkdayjobs.com/US_Bank_Careers,TRUE,FALSE,FALSE,bank
UMB Bank,workday,umb.wd1.myworkdayjobs.com/UMBExternal,TRUE,FALSE,FALSE,bank
USAA,workday,usaa.wd1.myworkdayjobs.com/USAAJOBSWD,TRUE,FALSE,FALSE,bank
Western Alliance Bank,workday,westernalliancebank.wd5.myworkdayjobs.com/WAB,TRUE,FALSE,FALSE,bank
Archer Aviation,greenhouse,archer,TRUE,FALSE,FALSE,climate-frontier
Astranis,greenhouse,astranis,TRUE,FALSE,FALSE,climate-frontier
Boom Supersonic,ashby,boom,TRUE,FALSE,FALSE,climate-frontier
Commonwealth Fusion Systems,lever,cfsenergy,TRUE,FALSE,FALSE,climate-frontier
Form Energy,ashby,formenergy,TRUE,FALSE,FALSE,climate-frontier
Heart Aerospace,greenhouse,heartaerospace,TRUE,FALSE,FALSE,climate-frontier
Helion Energy,ashby,helion,TRUE,FALSE,FALSE,climate-frontier
KoBold Metals,greenhouse,koboldmetals,TRUE,FALSE,FALSE,climate-frontier
